Country	Age Group	Interest in Politics	Satisfied with Government	Like to Protest	Like work with political parties	Like to boycott	Like to campaign for politician	Feel like have a voice	Democracy Preferred	Otner Preferred
Central African Republic	Uner 29	9	2	5	9	6	9	7	5	3
Chad	Uner 29	9	5	8	2	4	6	1	7	7
Chile	Uner 29	9	8	6	8	9	9	7	6	9
China	Uner 29	9	9	4	1	6	5	10	2	6
Colombia	Uner 29	9	10	8	3	8	3	5	10	8
Comoros	Uner 29	9	9	8	4	2	10	8	9	8
"Congo, Dem. Rep."	Uner 29	9	6	4	2	5	1	6	7	2
"Congo, Rep."	Uner 29	9	1	4	2	3	9	7	5	9
Costa Rica	Uner 29	9	5	4	3	7	1	9	2	6
Côte d'Ivoire	Uner 29	9	2	5	7	4	3	5	8	2
Croatia	Uner 29	9	9	3	9	7	6	1	9	9
Cyprus	Uner 29	9	8	3	10	2	6	8	3	5
Czech Republic	Uner 29	9	5	8	10	4	8	4	5	5
Denmark	Uner 29	9	6	8	4	3	7	6	1	7
Djibouti	Uner 29	9	10	2	9	3	3	9	4	2
Dominican Republic	Uner 29	9	5	2	3	6	4	6	9	8
Ecuador	Uner 29	9	10	10	6	4	3	10	8	9
"Egypt, Arab Rep."	Uner 29	9	4	6	4	1	2	9	4	1
El Salvador	Uner 29	9	2	4	8	2	3	3	4	3
Estonia	Uner 29	9	1	10	10	4	6	2	1	4
Ethiopia	Uner 29	9	8	8	8	2	8	4	4	10
Finland	Uner 29	9	6	3	4	4	9	2	10	5
France	Uner 29	9	9	8	9	8	4	8	2	3
Gabon	Uner 29	9	6	9	2	9	10	4	5	2
Georgia	Uner 29	9	2	7	8	4	8	5	7	10
Germany	Uner 29	9	4	4	3	5	2	5	6	6
Ghana	Uner 29	9	9	8	3	8	9	4	5	3
Greece	Uner 29	9	2	9	10	2	8	5	5	2
Guatemala	Uner 29	9	7	8	3	3	4	9	1	5
Guinea	Uner 29	9	10	10	1	3	6	5	4	3
Haiti	Uner 29	9	8	4	9	8	2	5	9	6
Honduras	Uner 29	9	10	4	2	6	3	6	8	10
"Hong Kong SAR, China"	Uner 29	9	8	3	4	1	1	8	5	2
Hungary	Uner 29	9	2	9	2	8	4	9	10	10
India	Uner 29	9	3	9	6	2	7	9	10	7
Indonesia	Uner 29	9	5	4	4	1	2	5	8	9
"Iran, Islamic Rep."	Uner 29	9	3	5	8	8	5	1	9	2
Iraq	Uner 29	9	10	10	6	8	4	6	9	9
Ireland	Uner 29	9	1	3	3	8	6	9	5	8
Israel	Uner 29	9	10	3	7	9	6	5	5	5
Italy	Uner 29	9	7	10	10	6	1	1	3	4
Jamaica	Uner 29	9	5	10	6	4	5	6	1	10
Japan	Uner 29	9	4	8	2	7	6	4	9	2
Jordan	Uner 29	9	10	4	6	6	1	9	6	7
Kazakhstan	Uner 29	9	3	9	7	10	2	9	6	8
Kenya	Uner 29	9	4	5	7	6	7	5	1	7
"Korea, Rep."	Uner 29	9	6	9	8	7	1	4	1	7
Kosovo	Uner 29	9	3	6	7	5	3	8	9	3
Kuwait	Uner 29	9	3	7	4	7	5	2	7	7
Kyrgyz Republic	Uner 29	9	7	9	9	1	6	10	7	9
Lao PDR	Uner 29	9	1	5	10	5	2	2	9	6
Latvia	Uner 29	9	9	5	10	1	2	8	7	1
Lebanon	Uner 29	9	4	7	5	2	5	5	4	4
Lesotho	Uner 29	9	5	3	3	6	3	7	6	4
Liberia	Uner 29	9	7	9	3	6	2	1	10	6
Libya	Uner 29	9	8	6	3	1	10	7	5	10
Lithuania	Uner 29	9	6	5	7	3	6	7	8	5
Luxembourg	Uner 29	9	8	7	2	5	2	6	2	7
"Macedonia, FYR"	Uner 29	9	2	1	5	7	5	2	2	1
Madagascar	Uner 29	9	9	5	1	1	2	1	1	2
Malawi	Uner 29	9	3	6	8	1	4	9	5	1
Malaysia	Uner 29	9	3	7	5	10	1	5	1	6
Mali	Uner 29	9	9	3	4	2	2	1	7	7
Malta	Uner 29	9	4	7	9	5	3	6	2	4
Mauritania	Uner 29	9	3	8	3	6	4	1	8	2
Mauritius	Uner 29	9	10	4	10	4	9	6	7	4
Mexico	Uner 29	9	8	4	8	1	7	4	2	6
Moldova	Uner 29	9	1	2	4	6	2	2	7	7
Mongolia	Uner 29	9	6	1	3	7	8	4	6	10
Montenegro	Uner 29	9	7	5	1	7	7	8	1	3
Morocco	Uner 29	9	6	1	3	7	6	4	9	3
Mozambique	Uner 29	9	7	8	9	6	6	4	4	9
Myanmar	Uner 29	9	9	2	5	7	4	2	4	5
Namibia	Uner 29	9	3	8	10	5	1	5	4	10
Nepal	Uner 29	9	4	6	8	8	10	8	5	7
Netherlands	Uner 29	9	9	1	1	5	6	1	5	2
New Zealand	Uner 29	9	6	6	2	4	9	1	7	9
Nicaragua	Uner 29	9	2	8	5	4	3	3	3	2
Niger	Uner 29	9	3	3	8	8	3	5	4	3
Nigeria	Uner 29	9	5	4	7	7	2	3	5	7
Norway	Uner 29	9	7	9	3	7	2	7	2	5
Oman	Uner 29	9	1	7	6	5	7	4	1	3
Pakistan	Uner 29	9	1	10	9	3	10	5	5	3
Panama	Uner 29	9	5	4	3	9	5	6	8	8
Paraguay	Uner 29	9	3	1	3	10	2	7	5	1
Peru	Uner 29	9	5	1	7	2	6	2	2	2
Philippines	Uner 29	9	10	10	3	9	1	6	7	3
Poland	Uner 29	9	3	3	8	3	5	1	5	1
Portugal	Uner 29	9	10	4	4	6	2	1	7	9
Puerto Rico	Uner 29	9	3	2	5	7	7	2	4	6
Qatar	Uner 29	9	7	7	8	10	1	9	4	10
Romania	Uner 29	9	2	5	4	7	4	3	6	6
Russian Federation	Uner 29	9	3	8	4	9	9	5	4	10
Rwanda	Uner 29	9	3	5	6	7	8	2	4	9
Saudi Arabia	Uner 29	9	4	3	4	1	3	9	7	4
Senegal	Uner 29	9	7	9	4	4	6	3	4	10
Serbia	Uner 29	9	9	2	4	4	3	8	8	1
Sierra Leone	Uner 29	9	3	1	5	7	9	1	8	1
Singapore	Uner 29	9	2	7	7	2	7	6	1	4
Slovak Republic	Uner 29	9	10	10	4	10	9	10	4	5
Slovenia	Uner 29	9	4	10	6	2	7	9	3	1
Somalia	Uner 29	9	8	6	5	4	9	6	3	7
South Africa	Uner 29	9	10	1	7	7	4	5	2	4
South Sudan	Uner 29	9	3	10	7	6	4	7	6	6
Spain	Uner 29	9	7	10	6	4	9	5	8	5
Sri Lanka	Uner 29	9	2	4	1	10	3	2	9	7
Sudan	Uner 29	9	10	10	5	8	10	7	2	2
Swaziland	Uner 29	9	8	1	1	5	2	8	4	3
Sweden	Uner 29	9	9	9	2	4	6	4	9	1
Switzerland	Uner 29	9	2	6	5	6	1	9	10	10
Syrian Arab Republic	Uner 29	9	7	8	8	9	3	7	10	1
Tajikistan	Uner 29	9	5	9	9	8	8	9	2	3
Tanzania	Uner 29	9	9	9	6	10	10	3	4	10
Thailand	Uner 29	9	5	2	9	9	9	6	4	2
Togo	Uner 29	9	8	5	6	5	1	5	3	4
Trinidad and Tobago	Uner 29	9	9	9	7	5	3	2	10	8
Tunisia	Uner 29	9	4	4	3	6	9	4	6	3
Turkey	Uner 29	9	9	2	8	1	6	4	3	10
Turkmenistan	Uner 29	9	6	2	5	2	3	1	3	10
Uganda	Uner 29	9	7	7	10	2	10	2	10	10
Ukraine	Uner 29	9	3	8	2	2	10	5	7	2
United Arab Emirates	Uner 29	9	4	6	8	7	8	9	1	5
United Kingdom	Uner 29	9	6	1	6	8	6	7	4	1
United States	Uner 29	9	5	1	6	8	6	10	5	6
Uruguay	Uner 29	9	8	3	2	4	5	1	1	8
Uzbekistan	Uner 29	9	5	4	3	5	9	8	3	5
"Venezuela, RB"	Uner 29	9	5	6	9	9	2	2	8	5
Vietnam	Uner 29	9	5	7	9	8	8	7	6	9
West Bank and Gaza	Uner 29	9	3	3	8	7	1	3	1	2
"Yemen, Rep."	Uner 29	9	9	9	6	10	9	10	1	5
Zambia	Uner 29	9	7	1	2	2	6	2	10	9
Zimbabwe	Uner 29	9	7	8	4	3	4	2	5	2
"Taiwan, China"	Uner 29	9	10	7	3	9	5	9	10	4
Afghanistan	29-38	9	10	2	5	10	3	1	8	2
Albania	29-38	9	9	4	9	9	10	3	7	1
Algeria	29-38	9	8	6	7	7	7	7	4	3
Angola	29-38	9	5	8	2	6	8	4	3	2
Argentina	29-38	9	2	1	8	8	6	1	10	2
Armenia	29-38	9	1	1	8	9	2	7	6	9
Australia	29-38	9	6	7	9	10	4	6	10	5
Austria	29-38	9	5	6	1	4	8	5	9	9
Azerbaijan	29-38	9	6	3	7	7	2	10	6	9
Bahrain	29-38	9	9	8	4	10	10	9	2	7
Bangladesh	29-38	9	4	9	10	7	9	6	5	3
Belarus	29-38	9	8	3	3	3	1	9	5	9
Belgium	29-38	9	3	8	3	3	8	3	5	4
Belize	29-38	9	2	10	1	6	8	10	6	6
Benin	29-38	9	3	5	4	5	9	5	2	3
Bhutan	29-38	9	8	8	2	7	5	3	4	6
Bolivia	29-38	9	7	7	7	10	7	3	10	8
Bosnia and Herzegovina	29-38	9	3	10	10	4	3	2	6	4
Botswana	29-38	9	8	7	2	7	1	9	9	4
Brazil	29-38	9	7	9	10	8	4	1	2	10
Bulgaria	29-38	9	5	4	1	10	7	8	2	1
Burkina Faso	29-38	9	4	2	5	10	6	1	5	8
Burundi	29-38	9	9	1	5	4	1	4	3	8
Cambodia	29-38	9	5	10	2	9	10	4	6	1
Cameroon	29-38	9	8	9	7	1	2	9	4	5
Canada	29-38	9	3	7	4	3	1	5	3	8
Central African Republic	29-38	9	5	1	5	6	1	8	5	6
Chad	29-38	9	6	3	6	10	5	1	3	7
Chile	29-38	9	3	4	4	10	7	1	3	4
China	29-38	9	7	1	8	1	3	5	1	4
Colombia	29-38	9	1	5	4	5	1	2	8	5
Comoros	29-38	9	9	6	6	7	10	7	7	9
"Congo, Dem. Rep."	29-38	9	6	3	5	8	6	2	9	6
"Congo, Rep."	29-38	9	6	3	1	10	2	7	10	2
Costa Rica	29-38	9	2	4	1	6	6	8	2	6
Côte d'Ivoire	29-38	9	6	2	7	2	4	1	9	3
Croatia	29-38	9	5	1	4	2	8	6	1	2
Cyprus	29-38	9	3	7	10	4	8	4	9	1
Czech Republic	29-38	9	3	7	10	9	5	3	4	9
Denmark	29-38	9	4	3	8	10	5	4	8	6
Djibouti	29-38	9	5	4	9	4	10	6	7	5
Dominican Republic	29-38	9	6	7	1	2	7	2	8	4
Ecuador	29-38	9	7	3	4	9	4	4	2	1
"Egypt, Arab Rep."	29-38	9	6	1	8	2	3	3	9	2
El Salvador	29-38	9	1	2	2	10	1	8	1	8
Estonia	29-38	9	7	1	9	4	1	10	1	3
Ethiopia	29-38	9	8	6	5	6	8	9	4	7
Finland	29-38	9	5	3	7	3	4	7	7	10
France	29-38	9	4	7	7	7	5	8	10	7
Gabon	29-38	9	10	1	3	4	2	9	9	5
Georgia	29-38	9	5	7	1	1	5	5	4	6
Germany	29-38	9	9	4	2	10	1	5	4	2
Ghana	29-38	9	9	8	3	2	2	3	7	3
Greece	29-38	9	6	3	1	8	2	4	1	1
Guatemala	29-38	9	1	1	8	6	8	6	6	6
Guinea	29-38	9	3	9	5	2	2	10	4	3
Haiti	29-38	9	8	5	9	7	4	8	5	3
Honduras	29-38	9	3	6	6	4	4	5	2	2
"Hong Kong SAR, China"	29-38	9	4	1	3	4	6	6	3	1
Hungary	29-38	9	6	1	3	2	4	9	1	5
India	29-38	9	8	4	7	10	10	6	8	5
Indonesia	29-38	9	1	10	10	8	1	2	7	5
"Iran, Islamic Rep."	29-38	9	6	10	2	2	10	3	2	5
Iraq	29-38	9	10	2	4	4	3	8	7	9
Ireland	29-38	9	7	6	7	4	3	9	6	3
Israel	29-38	9	1	6	9	7	3	4	7	8
Italy	29-38	9	7	1	7	10	10	1	3	4
Jamaica	29-38	9	8	6	2	3	1	4	8	1
Japan	29-38	9	10	2	3	2	4	8	7	5
Jordan	29-38	9	2	8	3	10	2	3	6	4
Kazakhstan	29-38	9	10	9	2	2	10	4	4	5
Kenya	29-38	9	1	5	4	10	4	8	4	3
"Korea, Rep."	29-38	9	10	1	10	5	6	1	7	6
Kosovo	29-38	9	5	9	2	2	9	2	1	10
Kuwait	29-38	9	2	7	3	1	2	8	6	1
Kyrgyz Republic	29-38	9	9	2	3	5	9	5	5	7
Lao PDR	29-38	9	6	9	2	10	1	7	7	8
Latvia	29-38	9	2	4	1	7	1	6	1	1
Lebanon	29-38	9	5	4	8	9	9	6	5	10
Lesotho	29-38	9	1	2	8	3	10	8	1	10
Liberia	29-38	9	4	6	2	4	3	9	5	3
Libya	29-38	9	2	1	5	6	4	2	4	5
Lithuania	29-38	9	7	2	1	2	4	10	6	5
Luxembourg	29-38	9	8	8	9	1	3	4	8	9
"Macedonia, FYR"	29-38	9	6	10	2	6	7	6	10	5
Madagascar	29-38	9	4	2	8	10	9	1	9	8
Malawi	29-38	9	3	8	4	8	6	10	2	3
Malaysia	29-38	9	6	2	2	10	7	1	1	8
Mali	29-38	9	1	7	2	5	1	1	3	8
Malta	29-38	9	9	5	5	1	1	3	4	9
Mauritania	29-38	9	9	5	4	8	4	1	4	9
Mauritius	29-38	9	2	3	3	7	6	3	9	10
Mexico	29-38	9	3	7	4	1	5	2	6	2
Moldova	29-38	9	5	5	6	6	8	8	3	1
Mongolia	29-38	9	4	6	2	9	10	3	3	9
Montenegro	29-38	9	3	5	9	5	1	1	7	2
Morocco	29-38	9	3	2	10	7	5	3	5	3
Mozambique	29-38	9	4	4	10	6	4	6	3	8
Myanmar	29-38	9	3	10	6	2	6	4	5	9
Namibia	29-38	9	8	5	4	4	7	6	4	7
Nepal	29-38	9	2	4	1	5	5	1	9	5
Netherlands	29-38	9	8	7	5	6	6	5	8	10
New Zealand	29-38	9	5	1	6	5	8	3	4	3
Nicaragua	29-38	9	9	9	5	2	9	9	1	6
Niger	29-38	9	7	5	9	5	3	9	10	9
Nigeria	29-38	9	1	2	1	1	6	6	4	10
Norway	29-38	9	6	4	1	2	9	10	2	7
Oman	29-38	9	4	4	5	1	7	1	5	2
Pakistan	29-38	9	6	6	5	3	4	2	4	4
Panama	29-38	9	9	3	6	3	1	6	2	9
Paraguay	29-38	9	1	2	2	6	10	4	4	2
Peru	29-38	9	4	4	6	6	5	7	1	8
Philippines	29-38	9	3	7	1	9	8	3	10	3
Poland	29-38	9	10	4	10	10	7	10	3	1
Portugal	29-38	9	3	10	2	8	10	3	6	6
Puerto Rico	29-38	9	3	4	3	8	2	1	9	8
Qatar	29-38	9	3	8	8	10	10	5	9	3
Romania	29-38	9	4	9	4	4	5	2	9	7
Russian Federation	29-38	9	3	4	9	1	2	4	7	3
Rwanda	29-38	9	1	8	3	2	6	7	9	4
Saudi Arabia	29-38	9	2	5	8	7	3	8	9	10
Senegal	29-38	9	7	8	4	3	9	4	9	1
Serbia	29-38	9	8	5	9	10	2	8	8	3
Sierra Leone	29-38	9	5	6	3	7	8	6	6	9
Singapore	29-38	9	1	6	6	1	8	7	8	5
Slovak Republic	29-38	9	7	7	1	2	2	10	4	1
Slovenia	29-38	9	10	8	10	6	10	2	3	5
Somalia	29-38	9	10	8	5	8	6	4	10	8
South Africa	29-38	9	1	6	9	7	7	2	2	5
South Sudan	29-38	9	7	5	6	10	7	7	5	2
Spain	29-38	9	6	8	5	5	6	8	9	10
Sri Lanka	29-38	9	10	5	9	10	1	10	9	3
Sudan	29-38	9	3	5	1	5	9	4	4	10
Swaziland	29-38	9	6	8	7	3	1	9	5	4
Sweden	29-38	9	8	1	3	5	5	10	8	7
Switzerland	29-38	9	2	5	6	9	7	8	8	1
Syrian Arab Republic	29-38	9	9	10	5	7	7	4	6	1
Tajikistan	29-38	9	5	9	6	5	10	4	2	10
Tanzania	29-38	9	8	1	9	4	6	6	4	8
Thailand	29-38	9	9	7	8	4	2	7	2	3
Togo	29-38	9	9	10	7	9	2	10	8	2
Trinidad and Tobago	29-38	9	8	5	10	9	4	7	6	1
Tunisia	29-38	9	6	7	10	7	1	10	4	8
Turkey	29-38	9	5	10	5	6	9	6	1	4
Turkmenistan	29-38	9	8	10	8	3	4	5	5	1
Uganda	29-38	9	5	7	9	5	6	4	3	1
Ukraine	29-38	9	4	2	8	9	2	2	10	2
United Arab Emirates	29-38	9	7	1	10	1	7	1	9	6
United Kingdom	29-38	9	10	10	5	5	8	6	9	9
United States	29-38	9	6	5	8	3	3	4	10	9
Uruguay	29-38	9	3	3	5	1	9	3	5	10
Uzbekistan	29-38	9	4	9	9	10	3	9	9	10
"Venezuela, RB"	29-38	9	10	4	4	2	8	5	10	2
Vietnam	29-38	9	3	2	6	5	10	9	6	8
West Bank and Gaza	29-38	9	7	8	4	7	2	1	1	4
"Yemen, Rep."	29-38	9	4	2	7	5	10	8	5	3
Zambia	29-38	9	10	6	10	4	7	2	2	9
Zimbabwe	29-38	9	10	7	7	5	1	1	10	1
"Taiwan, China"	29-38	9	9	1	4	7	5	1	7	10
Afghanistan	39+	9	4	5	1	6	2	10	8	7
Albania	39+	9	2	4	4	5	6	3	1	7
Algeria	39+	9	2	5	3	1	7	3	3	5
Angola	39+	9	1	2	2	5	3	1	2	4
Argentina	39+	9	3	3	5	3	8	1	9	5
Armenia	39+	9	5	8	9	4	3	4	3	7
Australia	39+	9	1	8	7	8	4	8	1	8
Austria	39+	9	1	10	2	4	9	5	10	7
Azerbaijan	39+	9	6	7	3	5	6	3	4	3
Bahrain	39+	9	4	5	6	9	3	9	4	10
Bangladesh	39+	9	10	9	8	5	4	1	3	4
Belarus	39+	9	7	2	5	8	2	6	5	3
Belgium	39+	9	5	2	10	8	5	3	2	8
Belize	39+	9	2	9	7	1	9	9	1	8
Benin	39+	9	5	9	2	8	2	5	5	4
Bhutan	39+	9	2	7	8	9	6	5	5	3
Bolivia	39+	9	3	1	8	8	10	8	9	8
Bosnia and Herzegovina	39+	9	10	2	10	10	1	10	8	9
Botswana	39+	9	7	10	6	8	2	7	1	7
Brazil	39+	9	4	10	10	2	1	7	1	4
Bulgaria	39+	9	8	5	2	10	5	9	9	1
Burkina Faso	39+	9	6	4	6	6	2	9	4	1
Burundi	39+	9	4	2	2	7	6	6	5	3
Cambodia	39+	9	8	9	10	2	8	6	7	3
Cameroon	39+	9	8	3	8	6	10	3	6	6
Canada	39+	9	10	2	2	5	9	10	6	8
Central African Republic	39+	9	10	3	2	6	9	7	4	8
Chad	39+	9	1	7	6	2	5	9	7	3
Chile	39+	9	7	2	9	3	6	7	6	10
China	39+	9	9	9	2	4	5	10	5	10
Colombia	39+	9	3	9	3	5	9	4	4	10
Comoros	39+	9	6	2	5	2	5	5	8	6
"Congo, Dem. Rep."	39+	9	6	10	4	8	8	1	1	10
"Congo, Rep."	39+	9	5	10	2	8	5	7	6	8
Costa Rica	39+	9	4	6	1	1	4	9	2	1
Côte d'Ivoire	39+	9	2	9	3	1	9	6	4	7
Croatia	39+	9	2	3	4	3	6	4	10	4
Cyprus	39+	9	5	10	2	10	8	5	2	10
Czech Republic	39+	9	5	7	9	2	6	7	4	1
Denmark	39+	9	2	9	1	5	4	1	1	4
Djibouti	39+	9	9	10	7	8	4	3	1	7
Dominican Republic	39+	9	6	9	7	7	8	4	7	1
Ecuador	39+	9	1	8	7	7	3	4	6	10
"Egypt, Arab Rep."	39+	9	3	5	6	1	6	5	6	1
El Salvador	39+	9	5	6	3	8	2	4	8	10
Estonia	39+	9	3	8	5	9	10	5	4	6
Ethiopia	39+	9	1	6	2	3	3	7	9	2
Finland	39+	9	2	7	6	3	4	4	10	9
France	39+	9	7	5	9	10	8	2	2	7
Gabon	39+	9	5	8	3	2	4	8	3	7
Georgia	39+	9	5	2	8	8	10	4	5	7
Germany	39+	9	9	4	4	2	3	7	6	9
Ghana	39+	9	6	5	6	2	1	9	3	6
Greece	39+	9	7	4	5	2	9	6	5	7
Guatemala	39+	9	10	3	10	8	8	1	5	7
Guinea	39+	9	10	4	5	4	1	5	2	1
Haiti	39+	9	9	2	10	7	5	1	10	5
Honduras	39+	9	4	9	4	7	9	3	6	8
"Hong Kong SAR, China"	39+	9	3	6	3	3	2	9	10	9
Hungary	39+	9	10	5	3	1	5	3	1	1
India	39+	9	3	9	6	10	8	6	1	5
Indonesia	39+	9	10	5	1	4	1	4	8	5
"Iran, Islamic Rep."	39+	9	3	4	3	8	2	2	4	5
Iraq	39+	9	9	6	5	10	5	1	8	9
Ireland	39+	9	10	6	6	2	6	4	1	6
Israel	39+	9	9	6	5	9	7	7	6	5
Italy	39+	9	7	3	10	9	8	7	2	2
Jamaica	39+	9	1	9	2	4	2	3	10	7
Japan	39+	9	3	8	1	5	2	9	3	9
Jordan	39+	9	1	7	10	6	9	8	1	10
Kazakhstan	39+	9	9	5	10	4	3	9	5	7
Kenya	39+	9	4	3	8	5	4	6	8	7
"Korea, Rep."	39+	9	6	6	8	8	8	3	3	2
Kosovo	39+	9	8	6	8	4	2	10	3	10
Kuwait	39+	9	5	9	2	10	9	2	2	2
Kyrgyz Republic	39+	9	1	10	4	2	10	2	9	9
Lao PDR	39+	9	10	4	2	2	3	9	4	9
Latvia	39+	9	10	9	3	7	10	8	4	10
Lebanon	39+	9	7	4	1	2	6	8	3	3
Lesotho	39+	9	6	10	10	2	1	5	6	3
Liberia	39+	9	6	6	10	4	2	5	9	9
Libya	39+	9	9	7	5	10	3	6	2	5
Lithuania	39+	9	10	9	3	2	8	1	5	10
Luxembourg	39+	9	5	10	2	6	8	3	1	3
"Macedonia, FYR"	39+	9	9	7	6	6	5	2	8	9
Madagascar	39+	9	4	4	6	4	10	5	3	7
Malawi	39+	9	10	6	8	2	6	8	9	8
Malaysia	39+	9	7	5	6	5	4	4	8	4
Mali	39+	9	9	8	9	4	1	6	9	7
Malta	39+	9	9	9	1	2	7	4	1	5
Mauritania	39+	9	8	8	1	8	9	9	2	3
Mauritius	39+	9	3	9	6	3	10	7	3	9
Mexico	39+	9	4	5	6	5	6	9	1	9
Moldova	39+	9	10	8	10	5	6	5	4	3
Mongolia	39+	9	7	6	7	8	2	6	2	4
Montenegro	39+	9	2	7	2	8	8	2	8	2
Morocco	39+	9	4	10	1	3	3	8	7	10
Mozambique	39+	9	8	4	6	6	5	5	7	3
Myanmar	39+	9	10	9	9	7	9	4	6	2
Namibia	39+	9	8	6	10	9	9	3	9	5
Nepal	39+	9	3	7	4	5	10	5	7	7
Netherlands	39+	9	1	2	10	9	8	8	10	7
New Zealand	39+	9	1	10	10	2	10	3	7	2
Nicaragua	39+	9	6	9	3	5	10	2	7	3
Niger	39+	9	7	6	5	6	8	9	4	7
Nigeria	39+	9	4	1	9	9	4	4	3	7
Norway	39+	9	2	2	5	2	7	6	3	7
Oman	39+	9	4	5	2	2	4	4	1	9
Pakistan	39+	9	8	6	6	9	10	6	2	1
Panama	39+	9	7	10	9	10	2	3	2	4
Paraguay	39+	9	4	9	9	4	3	10	6	3
Peru	39+	9	9	7	6	2	2	3	1	9
Philippines	39+	9	10	7	2	7	9	9	7	10
Poland	39+	9	10	2	7	5	10	4	10	9
Portugal	39+	9	7	8	6	8	9	10	3	2
Puerto Rico	39+	9	7	7	10	4	4	4	8	10
Qatar	39+	9	7	6	5	7	10	4	2	3
Romania	39+	9	1	3	5	8	9	4	7	3
Russian Federation	39+	9	7	8	6	1	8	8	2	3
Rwanda	39+	9	5	6	1	7	1	7	1	7
Saudi Arabia	39+	9	5	7	4	9	5	3	3	6
Senegal	39+	9	9	5	6	3	7	9	2	8
Serbia	39+	9	8	2	4	9	2	10	6	9
Sierra Leone	39+	9	3	3	2	7	8	2	5	9
Singapore	39+	9	1	10	9	7	4	8	2	6
Slovak Republic	39+	9	6	2	9	2	6	9	3	6
Slovenia	39+	9	1	1	1	10	3	6	9	3
Somalia	39+	9	6	6	6	6	9	2	5	4
South Africa	39+	9	6	6	2	4	10	9	6	3
South Sudan	39+	9	5	2	1	10	3	3	1	8
Spain	39+	9	4	2	7	2	3	5	9	8
Sri Lanka	39+	9	5	7	2	5	6	10	10	3
Sudan	39+	9	2	6	5	5	5	7	10	2
Swaziland	39+	9	3	6	10	8	6	7	10	8
Sweden	39+	9	5	10	8	4	9	1	5	1
Switzerland	39+	9	3	4	9	1	2	4	2	3
Syrian Arab Republic	39+	9	8	8	5	3	2	9	7	7
Tajikistan	39+	9	2	7	3	7	2	5	1	1
Tanzania	39+	9	4	5	6	7	1	8	6	8
Thailand	39+	9	10	6	5	2	5	6	6	7
Togo	39+	9	3	9	6	2	5	2	8	6
Trinidad and Tobago	39+	9	3	6	3	10	1	1	9	2
Tunisia	39+	9	3	2	3	2	4	9	9	2
Turkey	39+	9	6	4	8	7	8	8	4	3
Turkmenistan	39+	9	10	9	3	2	9	7	7	2
Uganda	39+	9	1	7	2	2	3	9	8	2
Ukraine	39+	9	1	2	2	9	3	6	2	5
United Arab Emirates	39+	9	2	5	2	10	6	2	3	2
United Kingdom	39+	9	3	1	6	1	8	3	1	9
United States	39+	9	2	7	8	9	8	1	5	5
Uruguay	39+	9	4	2	7	6	3	1	9	4
Uzbekistan	39+	9	3	6	1	10	5	3	2	2
"Venezuela, RB"	39+	9	3	1	10	8	7	5	4	6
Vietnam	39+	9	9	1	7	7	10	4	9	6
West Bank and Gaza	39+	9	7	5	9	1	10	3	9	5
"Yemen, Rep."	39+	9	1	9	7	7	3	10	1	7
Zambia	39+	9	10	8	3	5	6	4	6	3
Zimbabwe	39+	9	7	10	6	2	9	7	2	9
"Taiwan, China"	39+	9	10	6	9	10	9	1	8	7
